Mes,Estacion,afluencia_predicha,delitos_con_violencia,delitos_sin_violencia
2025-04-01,Acatitla,394335.1856710672,6,14
2025-05-01,Acatitla,407402.980778817,11,15
2025-06-01,Acatitla,385459.74877204414,9,15
2025-07-01,Acatitla,384672.5852988522,8,16
2025-08-01,Acatitla,398608.6788580844,5,11
2025-09-01,Acatitla,397421.1268312584,5,17
2025-10-01,Acatitla,438536.4133506584,4,15
2025-11-01,Acatitla,422221.3032114575,11,9
2025-12-01,Acatitla,424238.5645948076,9,9
2026-01-01,Acatitla,407339.7998704092,9,12
2026-02-01,Acatitla,390513.4834302122,4,17
2026-03-01,Acatitla,414148.2186052487,12,17
2025-04-01,Aculco,225676.10676350247,6,9
2025-05-01,Aculco,242001.2692021533,3,8
2025-06-01,Aculco,226838.47587691617,3,7
2025-07-01,Aculco,225583.5999036299,3,5
2025-08-01,Aculco,235722.8128713224,3,7
2025-09-01,Aculco,230153.669487282,4,7
2025-10-01,Aculco,245674.9513728465,4,5
2025-11-01,Aculco,230640.3412261246,3,6
2025-12-01,Aculco,218531.16492473005,4,8
2026-01-01,Aculco,218545.23141405988,2,9
2026-02-01,Aculco,212890.1365352409,3,10
2026-03-01,Aculco,228211.04838861123,3,10
2025-04-01,Agrícola Oriental,279990.9344876824,5,10
2025-05-01,Agrícola Oriental,303919.36805999826,7,9
2025-06-01,Agrícola Oriental,254347.36816460887,3,9
2025-07-01,Agrícola Oriental,268293.2717145877,5,11
2025-08-01,Agrícola Oriental,303345.8512866914,6,7
2025-09-01,Agrícola Oriental,288661.925383224,3,9
2025-10-01,Agrícola Oriental,304643.51523584384,6,13
2025-11-01,Agrícola Oriental,282605.10437143303,3,8
2025-12-01,Agrícola Oriental,304601.8300764274,3,11
2026-01-01,Agrícola Oriental,276868.7713171561,8,10
2026-02-01,Agrícola Oriental,270139.1679111952,7,6
2026-03-01,Agrícola Oriental,280299.74460355134,7,8
2025-04-01,Allende,204474.54566427,3,6
2025-05-01,Allende,192581.5931970297,2,4
2025-06-01,Allende,81003.5442400215,1,1
2025-07-01,Allende,118585.5552053303,2,5
2025-08-01,Allende,224091.74008038372,2,6
2025-09-01,Allende,179728.93293034803,3,6
2025-10-01,Allende,68281.13533982683,0,1
2025-11-01,Allende,226813.1623438897,6,10
2025-12-01,Allende,-149506.5187951129,-2,-4
2026-01-01,Allende,202620.0087669392,4,6
2026-02-01,Allende,237831.7140411453,3,10
2026-03-01,Allende,161497.1376110038,3,7
2025-04-01,Apatlaco,341325.210339512,7,8
2025-05-01,Apatlaco,349751.7917136432,4,15
2025-06-01,Apatlaco,326445.3874299126,9,11
2025-07-01,Apatlaco,344824.7617961874,8,11
2025-08-01,Apatlaco,367830.3693568401,10,8
2025-09-01,Apatlaco,374750.4387713735,10,8
2025-10-01,Apatlaco,411528.94670011423,9,17
2025-11-01,Apatlaco,386028.651035875,10,13
2025-12-01,Apatlaco,387629.0985141132,4,12
2026-01-01,Apatlaco,366035.9010422799,5,15
2026-02-01,Apatlaco,363855.2974209557,3,15
2026-03-01,Apatlaco,372037.9588056568,6,9
2025-04-01,Aquiles Serdán,476111.6630844321,8,18
2025-05-01,Aquiles Serdán,454874.087589218,7,10
2025-06-01,Aquiles Serdán,443759.4619529584,11,18
2025-07-01,Aquiles Serdán,435677.6072626704,7,17
2025-08-01,Aquiles Serdán,418406.9256281098,6,20
2025-09-01,Aquiles Serdán,341653.39280371746,7,7
2025-10-01,Aquiles Serdán,375603.908326739,4,8
2025-11-01,Aquiles Serdán,374515.697163485,9,10
2025-12-01,Aquiles Serdán,335845.48091127514,3,9
2026-01-01,Aquiles Serdán,514979.06716180616,15,14
2026-02-01,Aquiles Serdán,359702.73095350526,9,16
2026-03-01,Aquiles Serdán,412359.3405210029,5,11
2025-04-01,Aragón,181642.0163448064,1,5
2025-05-01,Aragón,195000.56096067704,5,8
2025-06-01,Aragón,189884.34903416937,4,6
2025-07-01,Aragón,184701.3003285811,4,7
2025-08-01,Aragón,194162.85012755884,4,4
2025-09-01,Aragón,202188.7939195205,2,7
2025-10-01,Aragón,196137.45794361128,3,4
2025-11-01,Aragón,201999.0907513824,2,4
2025-12-01,Aragón,191882.7944147894,5,9
2026-01-01,Aragón,194241.0504902018,4,4
2026-02-01,Aragón,193491.0368986421,3,6
2026-03-01,Aragón,207763.2207277653,2,6
2025-04-01,Atlalilco,719365.5676561707,11,21
2025-05-01,Atlalilco,798825.708271272,13,37
2025-06-01,Atlalilco,733913.5029238355,18,15
2025-07-01,Atlalilco,601036.4193750516,13,23
2025-08-01,Atlalilco,515286.2280527244,14,25
2025-09-01,Atlalilco,500538.4451713683,9,18
2025-10-01,Atlalilco,565599.2648970977,7,27
2025-11-01,Atlalilco,546904.682876322,13,11
2025-12-01,Atlalilco,523474.97460694297,13,17
2026-01-01,Atlalilco,620875.503748913,13,17
2026-02-01,Atlalilco,689400.3532291821,17,28
2026-03-01,Atlalilco,721226.8262558716,14,35
2025-04-01,Auditorio,995386.0705725376,20,27
2025-05-01,Auditorio,1074796.4248329466,19,42
2025-06-01,Auditorio,1027726.1291137252,10,26
2025-07-01,Auditorio,1048025.193962548,12,38
2025-08-01,Auditorio,1101030.3754396767,11,37
2025-09-01,Auditorio,1054224.5591353066,23,51
2025-10-01,Auditorio,1175933.421010796,19,44
2025-11-01,Auditorio,1145267.302295054,23,34
2025-12-01,Auditorio,1054741.790961248,29,24
2026-01-01,Auditorio,1119925.3924138872,16,27
2026-02-01,Auditorio,1113947.871251177,20,29
2026-03-01,Auditorio,1159993.3348084537,29,31
2025-04-01,Autobuses del Norte,592549.9278669768,8,26
2025-05-01,Autobuses del Norte,563275.7779431597,6,20
2025-06-01,Autobuses del Norte,451029.0633542781,7,16
2025-07-01,Autobuses del Norte,517855.8364050371,6,12
2025-08-01,Autobuses del Norte,572455.9086766227,16,26
2025-09-01,Autobuses del Norte,608032.4075925814,15,25
2025-10-01,Autobuses del Norte,404652.9413426226,9,8
2025-11-01,Autobuses del Norte,541792.587361875,14,22
2025-12-01,Autobuses del Norte,644704.7984758979,16,23
2026-01-01,Autobuses del Norte,435693.08934668056,5,9
2026-02-01,Autobuses del Norte,543620.3044369167,15,18
2026-03-01,Autobuses del Norte,593587.2492278081,12,20
2025-04-01,Balbuena,219659.90406516785,5,5
2025-05-01,Balbuena,220171.7623463559,6,10
2025-06-01,Balbuena,218502.8663905511,3,9
2025-07-01,Balbuena,221394.4791975914,2,8
2025-08-01,Balbuena,221231.0151909472,3,7
2025-09-01,Balbuena,221171.0037013431,4,7
2025-10-01,Balbuena,236717.5654290805,6,9
2025-11-01,Balbuena,357632.7486786255,9,13
2025-12-01,Balbuena,377427.7165502088,3,8
2026-01-01,Balbuena,375607.22287879215,7,13
2026-02-01,Balbuena,346392.3038288698,6,15
2026-03-01,Balbuena,356422.2066903221,5,12
2025-04-01,Balderas,1114840.0740776332,13,24
2025-05-01,Balderas,1204779.2042494186,20,52
2025-06-01,Balderas,1234561.8609180371,35,32
2025-07-01,Balderas,1262955.3608238709,20,35
2025-08-01,Balderas,1291206.10899921,26,32
2025-09-01,Balderas,1371487.2377699616,32,41
2025-10-01,Balderas,1457983.2860800012,25,62
2025-11-01,Balderas,1462037.9177783283,43,52
2025-12-01,Balderas,1485484.4325398735,43,38
2026-01-01,Balderas,1621623.59811991,24,75
2026-02-01,Balderas,1648784.8649100603,32,76
2026-03-01,Balderas,1713249.8398532444,27,79
2025-04-01,Barranca del Muerto,963354.8266223456,15,26
2025-05-01,Barranca del Muerto,1005473.5278454628,10,33
2025-06-01,Barranca del Muerto,956137.4128709936,21,47
2025-07-01,Barranca del Muerto,989955.7253389532,19,42
2025-08-01,Barranca del Muerto,1052760.8090478648,11,21
2025-09-01,Barranca del Muerto,1054435.2540208057,16,23
2025-10-01,Barranca del Muerto,1121672.792821592,31,38
2025-11-01,Barranca del Muerto,1042478.8058639476,15,49
2025-12-01,Barranca del Muerto,886506.3985627729,11,32
2026-01-01,Barranca del Muerto,830195.4434156814,16,29
2026-02-01,Barranca del Muerto,1013795.5239837636,30,23
2026-03-01,Barranca del Muerto,1036699.4488418766,15,41
2025-04-01,Bellas Artes,1244074.099387538,29,55
2025-05-01,Bellas Artes,1291980.007409044,32,40
2025-06-01,Bellas Artes,1411554.476737339,20,61
2025-07-01,Bellas Artes,1329101.576542879,32,65
2025-08-01,Bellas Artes,1270438.410327741,22,33
2025-09-01,Bellas Artes,1283255.6356220732,29,45
2025-10-01,Bellas Artes,1413964.7488566823,32,40
2025-11-01,Bellas Artes,1303222.3485080674,26,57
2025-12-01,Bellas Artes,1440224.816037826,17,53
2026-01-01,Bellas Artes,1270352.678542226,33,49
2026-02-01,Bellas Artes,1276543.4350794093,20,56
2026-03-01,Bellas Artes,1345908.184952014,18,42
2025-04-01,Bondojito,94422.50314280372,1,4
2025-05-01,Bondojito,130427.0884991655,2,4
2025-06-01,Bondojito,140769.9118585488,3,3
2025-07-01,Bondojito,128876.65435208654,1,5
2025-08-01,Bondojito,104639.58563822624,2,4
2025-09-01,Bondojito,137919.11535271571,2,4
2025-10-01,Bondojito,145634.61969347807,3,6
2025-11-01,Bondojito,154508.73346742275,2,7
2025-12-01,Bondojito,179281.69436996733,4,5
2026-01-01,Bondojito,162799.05863994855,2,8
2026-02-01,Bondojito,141934.92443210492,4,3
2026-03-01,Bondojito,112689.1234515994,1,2
2025-04-01,Bosque de Aragón,220850.130731027,3,5
2025-05-01,Bosque de Aragón,188924.97687528832,2,8
2025-06-01,Bosque de Aragón,271092.88490027294,7,10
2025-07-01,Bosque de Aragón,274471.9551790903,7,6
2025-08-01,Bosque de Aragón,279369.0469253436,4,9
2025-09-01,Bosque de Aragón,287155.7850873295,6,11
2025-10-01,Bosque de Aragón,286555.0184154684,7,6
2025-11-01,Bosque de Aragón,284157.85782779526,5,13
2025-12-01,Bosque de Aragón,260792.82722753863,5,11
2026-01-01,Bosque de Aragón,263703.18233920715,3,9
2026-02-01,Bosque de Aragón,259844.6419088756,3,12
2026-03-01,Bosque de Aragón,273356.14296149625,7,8
2025-04-01,Boulevard Puerto Aéreo,499102.1947353118,13,24
2025-05-01,Boulevard Puerto Aéreo,530149.2939971526,12,21
2025-06-01,Boulevard Puerto Aéreo,542283.7437493828,9,21
2025-07-01,Boulevard Puerto Aéreo,550153.2414565618,9,13
2025-08-01,Boulevard Puerto Aéreo,551158.36855618,13,25
2025-09-01,Boulevard Puerto Aéreo,557365.6009482858,15,18
2025-10-01,Boulevard Puerto Aéreo,590913.0354776889,16,14
2025-11-01,Boulevard Puerto Aéreo,608197.9418545411,15,12
2025-12-01,Boulevard Puerto Aéreo,621439.7930035571,14,22
2026-01-01,Boulevard Puerto Aéreo,669804.7691966924,7,23
2026-02-01,Boulevard Puerto Aéreo,691840.2210266896,9,28
2026-03-01,Boulevard Puerto Aéreo,729427.4265244907,20,34
2025-04-01,Calle 11,361960.5433627535,8,8
2025-05-01,Calle 11,352580.63585430215,3,14
2025-06-01,Calle 11,341896.55176389485,4,8
2025-07-01,Calle 11,366587.40413505817,8,16
2025-08-01,Calle 11,398771.2326130936,4,17
2025-09-01,Calle 11,395606.37538690446,5,14
2025-10-01,Calle 11,410078.7750729029,8,16
2025-11-01,Calle 11,399077.6519392147,9,11
2025-12-01,Calle 11,380226.72268296976,8,12
2026-01-01,Calle 11,414864.8515319073,6,18
2026-02-01,Calle 11,425337.1838239088,10,14
2026-03-01,Calle 11,448541.4025291007,6,13
2025-04-01,Camarones,356625.9634560964,5,12
2025-05-01,Camarones,382280.0558056496,9,17
2025-06-01,Camarones,364811.74870295386,8,10
2025-07-01,Camarones,359060.78752632986,9,9
2025-08-01,Camarones,397080.4689588887,9,16
2025-09-01,Camarones,408923.8197983456,8,18
2025-10-01,Camarones,440857.6132639295,5,10
2025-11-01,Camarones,405744.198754636,7,11
2025-12-01,Camarones,363094.806283055,5,8
2026-01-01,Camarones,329163.8298853044,4,10
2026-02-01,Camarones,384300.67365171545,11,12
2026-03-01,Camarones,404072.2472645371,7,17
2025-04-01,Canal de San Juan,314551.25675458513,8,12
2025-05-01,Canal de San Juan,334995.8415621843,7,12
2025-06-01,Canal de San Juan,316750.3815896109,8,9
2025-07-01,Canal de San Juan,337169.590242149,6,15
2025-08-01,Canal de San Juan,346026.52334779355,7,11
2025-09-01,Canal de San Juan,359574.07315268216,7,17
2025-10-01,Canal de San Juan,377582.5812287665,5,14
2025-11-01,Canal de San Juan,364044.5646774423,8,8
2025-12-01,Canal de San Juan,369793.34497204446,5,14
2026-01-01,Canal de San Juan,332164.43355494825,3,9
2026-02-01,Canal de San Juan,329919.2476010173,7,13
2026-03-01,Canal de San Juan,331974.0172002978,4,7
2025-04-01,Canal del Norte,177733.58240051533,5,4
2025-05-01,Canal del Norte,217356.0658100721,6,9
2025-06-01,Canal del Norte,198435.561808356,5,5
2025-07-01,Canal del Norte,196004.33172521924,3,8
2025-08-01,Canal del Norte,213620.1506366153,2,6
2025-09-01,Canal del Norte,222581.6655213272,6,8
2025-10-01,Canal del Norte,234134.0491430863,4,9
2025-11-01,Canal del Norte,226875.9163501122,6,8
2025-12-01,Canal del Norte,242629.4187204204,7,7
2026-01-01,Canal del Norte,178037.59747930238,4,4
2026-02-01,Canal del Norte,188859.68698992705,3,3
2026-03-01,Canal del Norte,205047.04020078783,3,5
2025-04-01,Candelaria,687019.6803853288,18,27
2025-05-01,Candelaria,735920.8701905252,12,35
2025-06-01,Candelaria,735001.1842877914,9,33
2025-07-01,Candelaria,711785.7060207387,15,30
2025-08-01,Candelaria,705364.9227524283,20,30
2025-09-01,Candelaria,698337.5412556428,16,27
