Mes,estacion,afluencia_predicha,delitos_con_violencia,delitos_sin_violencia
2025-04,INDIOS VERDES,1709251.076669735,0.0,0.0
2025-05,INDIOS VERDES,1904810.3745696768,0.0,0.0
2025-06,INDIOS VERDES,2317516.553063725,0.0,0.0
2025-07,INDIOS VERDES,1796851.817823785,0.0,0.0
2025-08,INDIOS VERDES,1810999.939629144,0.0,0.0
2025-09,INDIOS VERDES,2038596.632833741,0.0,0.0
2025-10,INDIOS VERDES,1624070.7516953018,0.0,0.0
2025-11,INDIOS VERDES,1594158.6435759526,0.0,0.0
2025-12,INDIOS VERDES,1737247.1520086506,0.0,0.0
2026-01,INDIOS VERDES,1468235.5195570542,0.0,0.0
2026-02,INDIOS VERDES,1631675.2289331974,0.0,0.0
2026-03,INDIOS VERDES,1808325.371230354,0.0,0.0
2026-04,INDIOS VERDES,1525925.5119312874,0.0,0.0
2026-05,INDIOS VERDES,1668302.0693763536,0.0,0.0
2026-06,INDIOS VERDES,2059748.207026576,0.0,0.0
2026-07,INDIOS VERDES,1586281.6783825518,0.0,0.0
2026-08,INDIOS VERDES,1998632.5149667168,0.0,0.0
2026-09,INDIOS VERDES,1532230.176379467,0.0,0.0
2026-10,INDIOS VERDES,1615457.3385342862,0.0,0.0
2026-11,INDIOS VERDES,1992153.7481101037,0.0,0.0
2026-12,INDIOS VERDES,1263079.4340413327,0.0,0.0
2027-01,INDIOS VERDES,1398569.7612132393,0.0,0.0
2027-02,INDIOS VERDES,1548984.0798539706,0.0,0.0
2027-03,INDIOS VERDES,1618348.1054096315,0.0,0.0
2027-04,INDIOS VERDES,1137602.9658010646,0.0,0.0
2027-05,INDIOS VERDES,1633627.1120642526,0.0,0.0
2027-06,INDIOS VERDES,1260886.5034606515,0.0,0.0
2027-07,INDIOS VERDES,1211345.5947702194,0.0,0.0
2027-08,INDIOS VERDES,1534668.6038584358,0.0,0.0
2027-09,INDIOS VERDES,1076405.512676401,0.0,0.0
2027-10,INDIOS VERDES,1141290.9980330649,0.0,0.0
2027-11,INDIOS VERDES,1403934.9482974298,0.0,0.0
2027-12,INDIOS VERDES,812328.5980952999,0.0,0.0
2028-01,INDIOS VERDES,1185634.8910345898,0.0,0.0
2028-02,INDIOS VERDES,1174692.8258988569,0.0,0.0
2028-03,INDIOS VERDES,818983.0296027026,0.0,0.0
2028-04,INDIOS VERDES,850004.4881365196,0.0,0.0
2028-05,INDIOS VERDES,1260279.7210923138,0.0,0.0
2028-06,INDIOS VERDES,967390.6560986766,0.0,0.0
2028-07,INDIOS VERDES,1155541.8607750193,0.0,0.0
2028-08,INDIOS VERDES,926264.342251091,0.0,0.0
2028-09,INDIOS VERDES,821973.8058873322,0.0,0.0
2028-10,INDIOS VERDES,1126712.594568472,0.0,0.0
2028-11,INDIOS VERDES,864113.4760301767,0.0,0.0
2028-12,INDIOS VERDES,555403.8956976482,0.0,0.0
2029-01,INDIOS VERDES,858972.4160915045,0.0,0.0
2029-02,INDIOS VERDES,913536.7864687258,0.0,0.0
2029-03,INDIOS VERDES,533299.9297387865,0.0,0.0
2029-04,INDIOS VERDES,675389.707485884,0.0,0.0
2029-05,INDIOS VERDES,683249.7865469961,0.0,0.0
2029-06,INDIOS VERDES,633199.6343183068,0.0,0.0
2029-07,INDIOS VERDES,738036.5743376251,0.0,0.0
2029-08,INDIOS VERDES,593727.7405080444,0.0,0.0
2029-09,INDIOS VERDES,468588.8469918664,0.0,0.0
2029-10,INDIOS VERDES,679166.2864006514,0.0,0.0
2029-11,INDIOS VERDES,507664.3182192282,0.0,0.0
2029-12,INDIOS VERDES,268985.56786705926,0.0,0.0
2030-01,INDIOS VERDES,355736.2879700228,0.0,0.0
2030-02,INDIOS VERDES,563455.7891083321,0.0,0.0
2030-03,INDIOS VERDES,195270.1601458547,0.0,0.0
2025-04,PERIFÉRICO ORIENTE,63584.93020654672,0.0,0.0
2025-05,PERIFÉRICO ORIENTE,60935.83419974028,0.0,0.0
2025-06,PERIFÉRICO ORIENTE,74728.618199886,0.0,0.0
2025-07,PERIFÉRICO ORIENTE,581010.9614535884,0.0,0.0
2025-08,PERIFÉRICO ORIENTE,848364.8048376595,0.0,0.0
2025-09,PERIFÉRICO ORIENTE,1147937.3640370348,0.0,0.0
2025-10,PERIFÉRICO ORIENTE,963184.3715626686,0.0,0.0
2025-11,PERIFÉRICO ORIENTE,1001781.1624222205,0.0,0.0
2025-12,PERIFÉRICO ORIENTE,1088492.7181122918,0.0,0.0
2026-01,PERIFÉRICO ORIENTE,897751.9050368238,0.0,0.0
2026-02,PERIFÉRICO ORIENTE,575638.8942590877,0.0,0.0
2026-03,PERIFÉRICO ORIENTE,704923.788146413,0.0,0.0
2026-04,PERIFÉRICO ORIENTE,489881.34613140224,0.0,0.0
